"year1","tag_name","views"
"1972","3d printing",
"1972","Addiction",
"1972","Adventure",
"1972","Advertising",
"1972","Africa",
"1972","Aging",
"1972","Agriculture",
"1972","AI",
"1972","AIDS",
"1972","Aircraft",
"1972","Algorithm",
"1972","Alternative energy",
"1972","Alzheimer's",
"1972","Ancient world",
"1972","Animals",
"1972","Animation",
"1972","Antarctica",
"1972","Anthropocene",
"1972","Anthropology",
"1972","Ants",
"1972","Apes",
"1972","Archaeology",
"1972","Architecture",
"1972","Art",
"1972","Arts",
"1972","Asia",
"1972","Asteroid",
"1972","Astrobiology",
"1972","Astronomy",
"1972","Atheism",
"1972","Augmented reality",
"1972","Autism",
"1972","Autism spectrum disorder",
"1972","Bacteria",
"1972","Beauty",
"1972","Bees",
"1972","Behavioral economics",
"1972","Best of the Web",
"1972","Big bang",
"1972","Big problems",
"1972","Biodiversity",
"1972","Bioethics",
"1972","Biology",
"1972","Biomechanics",
"1972","Biomimicry",
"1972","Bionics",
"1972","Biosphere",
"1972","Biotech",
"1972","Birds",
"1972","Blindness",
"1972","Blockchain",
"1972","Body language",
"1972","Books",
"1972","Botany",
"1972","Brain",
"1972","Brand",
"1972","Brazil",
"1972","Buddhism",
"1972","Bullying",
"1972","Business",
"1972","Cancer",
"1972","Capitalism",
"1972","Cars",
"1972","Cello",
"1972","Charter for compassion",
"1972","Chemistry",
"1972","Children",
"1972","China",
"1972","Choice",
"1972","Christianity",
"1972","Cities",
"1972","Climate change",
"1972","Cloud",
"1972","Code",
"1972","Cognitive science",
"1972","Collaboration",
"1972","Comedy",
"1972","Communication",
"1972","Community",
"1972","Compassion",
"1972","Complexity",
"1972","Composing",
"1972","Computers",
"1972","Conducting",
"1972","Consciousness",
"1972","Conservation",
"1972","Consumerism",
"1972","Cooperation",
"1972","Coral reefs",
"1972","Corruption",
"1972","Cosmos",
"1972","Creativity",
"1972","Crime",
"1972","Criminal Justice",
"1972","CRISPR",
"1972","Crowdsourcing",
"1972","Cryptocurrency",
"1972","Culture",
"1972","Curiosity",
"1972","Dance",
"1972","Dark matter",
"1972","Data",
"1972","Death",
"1972","Debate",
"1972","Decision-making",
"1972","Deextinction",
"1972","Demo",
"1972","Democracy",
"1972","Depression",
"1972","Design",
"1972","Development",
"1972","Dinosaurs",
"1972","Disability",
"1972","Disaster relief",
"1972","Discovery",
"1972","Disease",
"1972","Diversity",
"1972","DNA",
"1972","Driverless cars",
"1972","Drones",
"1972","Ebola",
"1972","Ecology",
"1972","Economics",
"1972","Education",
"1972","Egypt",
"1972","Electricity",
"1972","Emotions",
"1972","Empathy",
"1972","Encryption",
"1972","Energy",
"1972","Engineering",
"1972","Entertainment",
"1972","Entrepreneur",
"1972","Environment",
"1972","Epidemiology",
"1972","Europe",
"1972","Evil",
"1972","Evolution",
"1972","Evolutionary psychology",
"1972","Exercise",
"1972","Exoskeleton",
"1972","Exploration",
"1972","Extraterrestrial life",
"1972","Extreme sports",
"1972","Failure",
"1972","Faith",
"1972","Family",
"1972","Farming",
"1972","Fashion",
"1972","Fear",
"1972","Feminism",
"1972","Film",
"1972","Finance",
"1972","Fish",
"1972","Flight",
"1972","Food",
"1972","Foreign Policy",
"1972","Forensics",
"1972","Friendship",
"1972","Fungi",
"1972","Funny",
"1972","Future",
"1972","Gaming",
"1972","Garden",
"1972","Gender",
"1972","Gender equality",
"1972","Gender spectrum",
"1972","Genetics",
"1972","Geology",
"1972","Glacier",
"1972","Global commons",
"1972","Global development",
"1972","Global issues",
"1972","Goal-setting",
"1972","God",
"1972","Google",
"1972","Government",
"1972","Grammar",
"1972","Graphic design",
"1972","Green",
"1972","Guitar",
"1972","Guns",
"1972","Hack",
"1972","Happiness",
"1972","Health",
"1972","Health care",
"1972","Healthcare",
"1972","Hearing",
"1972","Heart health",
"1972","History",
"1972","HIV",
"1972","Homelessness",
"1972","Human body",
"1972","Human origins",
"1972","Humanity",
"1972","Humor",
"1972","Identity",
"1972","Illness",
"1972","Illusion",
"1972","Immigration",
"1972","Inclusion",
"1972","India",
"1972","Indigenous peoples",
"1972","Industrial design",
"1972","Inequality",
"1972","Infrastructure",
"1972","Innovation",
"1972","Insects",
"1972","Intelligence",
"1972","Interface design",
"1972","Internet",
"1972","Interview",
"1972","Introvert",
"1972","Invention",
"1972","Investment",
"1972","Iran",
"1972","Iraq",
"1972","Islam",
"1972","Jazz",
"1972","Journalism",
"1972","Justice system",
"1972","Language",
"1972","Latin America",
"1972","Law",
"1972","Leadership",
"1972","LGBT",
"1972","Library",
"1972","Life",
"1972","Literature",
"1972","Live music",
"1972","Love",
"1972","MacArthur grant",
"1972","Machine learning",
"1972","Magic",
"1972","Manufacturing",
"1972","Map",
"1972","Marine biology",
"1972","Marketing",
"1972","Markets",
"1972","Mars",
"1972","Materials",
"1972","Math",
"1972","Media",
"1972","Medical imaging",
"1972","Medical research",
"1972","Medicine",
"1972","Meditation",
"1972","Meme",
"1972","Memory",
"1972","Men",
"1972","Mental health",
"1972","Microbes",
"1972","Microbiology",
"1972","Microfinance",
"1972","Microsoft",
"1972","Middle East",
"1972","Military",
"1972","Mind",
"1972","Mindfulness",
"1972","Mining",
"1972","Mission blue",
"1972","Mobility",
"1972","Molecular biology",
"1972","Money",
"1972","Monkeys",
"1972","Moon",
"1972","Morality",
"1972","Motivation",
"1972","Movies",
"1972","Museums",
"1972","Music",
"1972","Nanoscale",
"1972","Narcotics",
"1972","NASA",
"1972","Natural disaster",
"1972","Natural resources",
"1972","Nature",
"1972","Neurology",
"1972","Neuroscience",
"1972","New York",
"1972","News",
"1972","Nobel prize",
"1972","Nonviolence",
"1972","Novel",
"1972","Nuclear energy",
"1972","Nuclear weapons",
"1972","Obesity",
"1972","Oceans",
"1972","Oil",
"1972","Online video",
"1972","Open-source",
"1972","Opioids",
"1972","Origami",
"1972","Pain",
"1972","Painting",
"1972","Paleontology",
"1972","Pandemic",
"1972","Parenting",
"1972","Peace",
"1972","Performance",
"1972","Performance art",
"1972","Person",
"1972","Personal growth",
"1972","Personality",
"1972","Pharmaceuticals",
"1972","Philanthropy",
"1972","Philosophy",
"1972","Photography",
"1972","Physics",
"1972","Physiology",
"1972","Piano",
"1972","Planets",
"1972","Plants",
"1972","Plastic",
"1972","Play",
"1972","Poetry",
"1972","Policy",
"1972","Politics",
"1972","Pollution",
"1972","Population",
"1972","Potential",
"1972","Poverty",
"1972","Prediction",
"1972","Pregnancy",
"1972","Presentation",
"1972","Primates",
"1972","Prison",
"1972","Privacy",
"1972","Product design",
"1972","Productivity",
"1972","Programming",
"1972","Prosthetics",
"1972","Protests",
"1972","Psychology",
"1972","PTSD",
"1972","Public health",
"1972","Public spaces",
"1972","Quantum physics",
"1972","Race",
"1972","Refugees",
"1972","Relationships",
"1972","Religion",
"1972","Resources",
"1972","Rivers",
"1972","Robots",
"1972","Rocket science",
"1972","Sanitation",
"1972","Science",
"1972","Science and art",
"1972","Science Fiction",
"1972","Security",
"1972","Self",
"1972","Senses",
"1972","Sex",
"1972","Sexual violence",
"1972","Shopping",
